"","Feature","Coeff","abs_Coeff","scaled","abs_scaled"
"1","CDYL",-0.879430404313436,0.879430404313436,-1,1
"2","WASF1",0.812174827716364,0.812174827716364,0.923523707769033,0.923523707769033
"3","VPS8",0.81202526351733,0.81202526351733,0.923353638371499,0.923353638371499
"4","TEX9",0.731084671113684,0.731084671113684,0.83131611953357,0.83131611953357
"5","CNTROB",-0.688147447772989,0.688147447772989,-0.782492218142287,0.782492218142287
"6","AP1G1",-0.646753364423869,0.646753364423869,-0.73542302068665,0.73542302068665
"7","TMSB4XP8",0.635884356416937,0.635884356416937,0.723063875547226,0.723063875547226
"8","HGD",-0.552957640153217,0.552957640153217,-0.628767935974316,0.628767935974316
"9","LTF",0.519639528279905,0.519639528279905,0.590881922811826,0.590881922811826
"10","EAF2",-0.491441243271771,0.491441243271771,-0.558817662957008,0.558817662957008
"11","HNRNPAB",-0.489211585668971,0.489211585668971,-0.55628232008978,0.55628232008978
"12","SCFD2",-0.479687328820544,0.479687328820544,-0.545452291014468,0.545452291014468
"13","MAOB",0.467289061622631,0.467289061622631,0.531354225792818,0.531354225792818
"14","DDX11L5",-0.453745037837799,0.453745037837799,-0.515953321163639,0.515953321163639
"15","EMR1",-0.442837036116089,0.442837036116089,-0.503549836285008,0.503549836285008
"16","HPSE",0.413435827070533,0.413435827070533,0.470117731935023,0.470117731935023
"17","EHMT2",0.406451845772827,0.406451845772827,0.462176249285059,0.462176249285059
"18","IGFBP2",0.382603045079138,0.382603045079138,0.435057786497424,0.435057786497424
"19","HSD17B3",-0.37549199933647,0.37549199933647,-0.42697181891228,0.42697181891228
"20","LIPC",-0.369444191045934,0.369444191045934,-0.420094858255846,0.420094858255846
"21","NCKIPSD",0.353275129044412,0.353275129044412,0.401709023603989,0.401709023603989
"22","TBC1D9B",0.352647483018595,0.352647483018595,0.400995327531238,0.400995327531238
"23","SIAE",0.328648635999056,0.328648635999056,0.373706247119838,0.373706247119838
"24","CA1",0.297120569282864,0.297120569282864,0.337855693668931,0.337855693668931
"25","GRHL1",-0.291401848239909,0.291401848239909,-0.33135293800469,0.33135293800469
"26","RBM22",-0.287883571711455,0.287883571711455,-0.327352307015361,0.327352307015361
"27","FCGR2A",0.285250433679013,0.285250433679013,0.324358166695073,0.324358166695073
"28","FLOT2",-0.283015840375696,0.283015840375696,-0.321817211444542,0.321817211444542
"29","TBC1D14",-0.279620029699174,0.279620029699174,-0.317955836331894,0.317955836331894
"30","AQR",-0.269918727208456,0.269918727208456,-0.306924488719695,0.306924488719695
"31","PLOD2",0.257465952988261,0.257465952988261,0.292764443582392,0.292764443582392
"32","DOCK8",0.254085764548766,0.254085764548766,0.288920832509912,0.288920832509912
"33","NUP205",-0.252598301021014,0.252598301021014,-0.287229438261479,0.287229438261479
"34","INTS10",0.238695836775766,0.238695836775766,0.27142095111223,0.27142095111223
"35","FSTL4",-0.235787870487138,0.235787870487138,-0.268114303679568,0.268114303679568
"36","TPM1",0.232445884515032,0.232445884515032,0.26431413261917,0.26431413261917
"37","NASP",-0.229952747484261,0.229952747484261,-0.261479187388095,0.261479187388095
"38","DDX11L10",-0.229323896922737,0.229323896922737,-0.260764121638219,0.260764121638219
"39","CD22",-0.227825809217812,0.227825809217812,-0.259060646641702,0.259060646641702
"40","OCIAD2",-0.227347901109535,0.227347901109535,-0.258517217501735,0.258517217501735
"41","POU2F2",-0.216149757438852,0.216149757438852,-0.245783812316107,0.245783812316107
"42","CLEC2D",-0.206170171739676,0.206170171739676,-0.234436028966535,0.234436028966535
"43","RGCC",-0.205535401282421,0.205535401282421,-0.233714231705328,0.233714231705328
"44","CIRBP",-0.204052699696796,0.204052699696796,-0.232028252259596,0.232028252259596
"45","SLC7A7",0.202036512063191,0.202036512063191,0.229735646018424,0.229735646018424
"46","MTRNR2L12",0.197655250967701,0.197655250967701,0.224753715584815,0.224753715584815
"47","CSE1L",-0.191802831678871,0.191802831678871,-0.218098931692736,0.218098931692736
"48","WDFY4",-0.188005194718741,0.188005194718741,-0.213780640055895,0.213780640055895
"49","FOS",-0.183969578353827,0.183969578353827,-0.209191742122505,0.209191742122505
"50","MS4A1",-0.166808061366376,0.166808061366376,-0.189677387259088,0.189677387259088
"51","HTATIP2",0.159643866489072,0.159643866489072,0.181530983811851,0.181530983811851
"52","PLEKHA1",0.159438473962145,0.159438473962145,0.181297432042524,0.181297432042524
"53","BBS2",-0.150344017031257,0.150344017031257,-0.170956128300601,0.170956128300601
"54","DHRS7",0.149959761747095,0.149959761747095,0.17051919175363,0.17051919175363
"55","NSMCE1",-0.149624954745589,0.149624954745589,-0.170138482831282,0.170138482831282
"56","DYNC1H1",0.149367900632665,0.149367900632665,0.16984618669089,0.16984618669089
"57","PPP5C",-0.148898471988431,0.148898471988431,-0.169312399546471,0.169312399546471
"58","`HLA-C`",0.148652206236544,0.148652206236544,0.169032370847578,0.169032370847578
"59","IARS2",-0.146310466594252,0.146310466594252,-0.166369579533102,0.166369579533102
"60","MTRNR2L2",0.138990620654771,0.138990620654771,0.158046185318416,0.158046185318416
"61","NOC2L",-0.137277540605667,0.137277540605667,-0.156098242603789,0.156098242603789
"62","TPM2",0.134069378306919,0.134069378306919,0.152450242394776,0.152450242394776
"63","PDE2A",0.131298796637266,0.131298796637266,0.149299814963493,0.149299814963493
"64","PREX1",0.130415171267538,0.130415171267538,0.148295044869812,0.148295044869812
"65","PNPT1",0.129263704168966,0.129263704168966,0.146985712041513,0.146985712041513
"66","RAPGEF1",-0.125909678865818,0.125909678865818,-0.143171851062069,0.143171851062069
"67","DDX50",-0.12220882731127,0.12220882731127,-0.138963614075496,0.138963614075496
"68","ANAPC4",0.121278091193316,0.121278091193316,0.137905274366761,0.137905274366761
"69","ODF2L",-0.121230182722663,0.121230182722663,-0.137850797661819,0.137850797661819
"70","RBMXL1",-0.120209411082855,0.120209411082855,-0.136690078593202,0.136690078593202
"71","MX1",0.118860051996647,0.118860051996647,0.135155722856137,0.135155722856137
"72","SNRNP200",0.11681417775319,0.11681417775319,0.13282935998146,0.13282935998146
"73","RGS3",-0.11490014002783,0.11490014002783,-0.130652908364627,0.130652908364627
"74","SP100",0.112979757058941,0.112979757058941,0.128469241573634,0.128469241573634
"75","GSTA1",-0.112833663587591,0.112833663587591,-0.128303118739315,0.128303118739315
"76","DGAT1",0.112318452010683,0.112318452010683,0.127717271838434,0.127717271838434
"77","TTC17",-0.108078951470877,0.108078951470877,-0.12289653728228,0.12289653728228
"78","ITSN2",0.106171147131934,0.106171147131934,0.120727173646925,0.120727173646925
"79","RABGGTA",-0.10580523005988,0.10580523005988,-0.120311089474421,0.120311089474421
"80","NOSIP",-0.102521169429515,0.102521169429515,-0.116576785299517,0.116576785299517
"81","SRRM1",0.101582879492285,0.101582879492285,0.115509856145569,0.115509856145569
"82","HARS",0.0992526366343923,0.0992526366343923,0.112860137820545,0.112860137820545
"83","POLR2B",-0.0962162978565844,0.0962162978565844,-0.109407518076089,0.109407518076089
"84","RGS2",0.0962151531586731,0.0962151531586731,0.109406216440501,0.109406216440501
"85","RBMX",0.0945760564614412,0.0945760564614412,0.107542400168977,0.107542400168977
"86","DENND4B",-0.0942931375903498,0.0942931375903498,-0.107220693221272,0.107220693221272
"87","SSB",0.0921490622355848,0.0921490622355848,0.104782665897849,0.104782665897849
"88","PROS1",0.0902856838355625,0.0902856838355625,0.102663818981842,0.102663818981842
"89","UBE4A",0.0879256133380822,0.0879256133380822,0.0999801836584499,0.0999801836584499
"90","IARS",0.0852910237678609,0.0852910237678609,0.0969843927950693,0.0969843927950693
"91","CCT4",-0.0848096574483235,0.0848096574483235,-0.0964370313243078,0.0964370313243078
"92","NME4",0.0803179397585908,0.0803179397585908,0.0913295007366664,0.0913295007366664
"93","GLOD4",0.0776513130028774,0.0776513130028774,0.0882972804010559,0.0882972804010559
"94","HACL1",0.0753149101877312,0.0753149101877312,0.0856405575908294,0.0856405575908294
"95","PSMD14",0.0745311857369812,0.0745311857369812,0.0847493847965912,0.0847493847965912
"96","PCF11",0.0738040978790832,0.0738040978790832,0.0839226134519439,0.0839226134519439
"97","STIM2",-0.0730503773480215,0.0730503773480215,-0.0830655581041132,0.0830655581041132
"98","SSBP4",-0.0721977582129062,0.0721977582129062,-0.0820960451887837,0.0820960451887837
"99","CD244",-0.0714608971825627,0.0714608971825627,-0.0812581607732241,0.0812581607732241
"100","CAND1",-0.0707078687225037,0.0707078687225037,-0.0804018923790846,0.0804018923790846
"101","MLH3",0.0677281495814489,0.0677281495814489,0.0770136548034449,0.0770136548034449
"102","NUP133",0.0669121072422009,0.0669121072422009,0.0760857333496886,0.0760857333496886
"103","PREB",-0.0628748470978638,0.0628748470978638,-0.0714949662753014,0.0714949662753014
"104","STK10",0.0611066968633567,0.0611066968633567,0.0694844032724365,0.0694844032724365
"105","CD96",0.0567461412978582,0.0567461412978582,0.0645260170896177,0.0645260170896177
"106","IQGAP1",0.0527522820639208,0.0527522820639208,0.0599846011750118,0.0599846011750118
"107","RPL3",-0.0500960324834616,0.0500960324834616,-0.0569641807216924,0.0569641807216924
"108","SRRT",-0.0496344766962599,0.0496344766962599,-0.0564393458002048,0.0564393458002048
"109","TRAC",-0.0489352550278904,0.0489352550278904,-0.0556442610897604,0.0556442610897604
"110","TRIM22",0.047821526943294,0.047821526943294,0.0543778412808321,0.0543778412808321
"111","LRRK2",0.0464080292986864,0.0464080292986864,0.0527705536118196,0.0527705536118196
"112","HDAC8",-0.0458788664649509,0.0458788664649509,-0.052168842741761,0.052168842741761
"113","EIF3B",0.0457864972788771,0.0457864972788771,0.052063809773125,0.052063809773125
"114","MANBA",-0.0456618931882373,0.0456618931882373,-0.0519221225059704,0.0519221225059704
"115","ADA",-0.0456018129567786,0.0456018129567786,-0.0518538052961446,0.0518538052961446
"116","CNTRL",0.0455146564646682,0.0455146564646682,0.0517546996799606,0.0517546996799606
"117","CENPC",0.0449789730384192,0.0449789730384192,0.0511455742464737,0.0511455742464737
"118","S100A11",0.0444104595743697,0.0444104595743697,0.0504991177886789,0.0504991177886789
"119","CA2",-0.0441162397445421,0.0441162397445421,-0.050164560524813,0.050164560524813
"120","PSMB7",0.042569478993253,0.042569478993253,0.0484057394245843,0.0484057394245843
"121","SCAPER",0.0416381583451626,0.0416381583451626,0.0473467350468388,0.0473467350468388
"122","RBL2",0.038804324490394,0.038804324490394,0.0441243835783551,0.0441243835783551
"123","NAT10",-0.0386785332295514,0.0386785332295514,-0.0439813463803852,0.0439813463803852
"124","GLTSCR2",-0.0385381645385879,0.0385381645385879,-0.0438217331918088,0.0438217331918088
"125","NKG7",-0.037691351955634,0.037691351955634,-0.0428588229048771,0.0428588229048771
"126","LTB",-0.0367216826829916,0.0367216826829916,-0.0417562123197911,0.0417562123197911
"127","SIGIRR",-0.0363592198918162,0.0363592198918162,-0.0413440560088453,0.0413440560088453
"128","RLTPR",-0.0353278516643876,0.0353278516643876,-0.0401712875642135,0.0401712875642135
"129","CCT6A",0.034703327583129,0.034703327583129,0.0394611414535089,0.0394611414535089
"130","UBA2",0.0346978763304319,0.0346978763304319,0.0394549428360056,0.0394549428360056
"131","PDZK1IP1",-0.0346522903441691,0.0346522903441691,-0.0394031070272375,0.0394031070272375
"132","LYZ",0.0333320202888937,0.0333320202888937,0.037901828416901,0.037901828416901
"133","TAF12",-0.0328984046566754,0.0328984046566754,-0.0374087642357088,0.0374087642357088
"134","FUBP1",0.032274600736879,0.032274600736879,0.0366994370203467,0.0366994370203467
"135","LOXL3",0.0320996409334995,0.0320996409334995,0.0365004902901434,0.0365004902901434
"136","PGM1",-0.03202233540059,0.03202233540059,-0.0364125861961636,0.0364125861961636
"137","SLC38A2",-0.0306173507039392,0.0306173507039392,-0.0348149785972455,0.0348149785972455
"138","EDEM2",-0.0289455300395155,0.0289455300395155,-0.0329139519142655,0.0329139519142655
"139","C1orf87",-0.0279683855306488,0.0279683855306488,-0.0318028412407273,0.0318028412407273
"140","MTA2",-0.0279208477924533,0.0279208477924533,-0.0317487860955306,0.0317487860955306
"141","TOMM7",-0.0275264888198283,0.0275264888198283,-0.0313003606480015,0.0313003606480015
"142","TCF7",-0.0266840800119257,0.0266840800119257,-0.0303424578921145,0.0303424578921145
"143","SDAD1",0.0266359916586556,0.0266359916586556,0.0302877766427124,0.0302877766427124
"144","TRPV2",-0.024028388490699,0.024028388490699,-0.02732267200775,0.02732267200775
"145","SNX4",-0.0236745404368925,0.0236745404368925,-0.0269203115116028,0.0269203115116028
"146","ADK",0.0234639125394036,0.0234639125394036,0.0266808066042721,0.0266808066042721
"147","EZR",-0.0225829658578008,0.0225829658578008,-0.0256790824459056,0.0256790824459056
"148","LGALS2",-0.0225300952469296,0.0225300952469296,-0.0256189632930859,0.0256189632930859
"149","ITGA2B",0.0217227183046032,0.0217227183046032,0.0247008952590876,0.0247008952590876
"150","MAPKAPK5",-0.0211517499761479,0.0211517499761479,-0.0240516473758499,0.0240516473758499
"151","CCT7",-0.0196855516123799,0.0196855516123799,-0.0223844337378218,0.0223844337378218
"152","CYB5R3",0.0191095481764419,0.0191095481764419,0.0217294604356561,0.0217294604356561
"153","ACAP1",-0.018238365551355,0.018238365551355,-0.0207388389824816,0.0207388389824816
"154","RALGDS",-0.0177372853547619,0.0177372853547619,-0.0201690608691307,0.0201690608691307
"155","DDX39A",-0.0176397937819721,0.0176397937819721,-0.0200582032363816,0.0200582032363816
"156","PRPF8",0.0175691084845605,0.0175691084845605,0.0199778270098321,0.0199778270098321
"157","KSR1",-0.0151117919030106,0.0151117919030106,-0.0171836131988275,0.0171836131988275
"158","RPL28",-0.013722332299177,0.013722332299177,-0.0156036591774308,0.0156036591774308
"159","SAMD3",-0.0126061124141428,0.0126061124141428,-0.0143344059431107,0.0143344059431107
"160","NUB1",-0.0111888382382657,0.0111888382382657,-0.0127228239817348,0.0127228239817348
"161","DMAP1",-0.0110557609893688,0.0110557609893688,-0.0125715018893393,0.0125715018893393
"162","`HLA-DPA1`",-0.0107120743280273,0.0107120743280273,-0.0121806959089504,0.0121806959089504
"163","OLA1",-0.0068064693463616,0.0068064693463616,-0.00773963387321746,0.00773963387321746
"164","CARD11",-0.00628274034615156,0.00628274034615156,-0.00714410181332819,0.00714410181332819
"165","OSBP2",0.00592933390977329,0.00592933390977329,0.00674224348020156,0.00674224348020156
"166","`HLA-DRB1`",-0.00530624445258624,0.00530624445258624,-0.0060337286800185,0.0060337286800185
"167","POMGNT1",0.00421981298550367,0.00421981298550367,0.00479834784515785,0.00479834784515785
"168","PARP4",0.00378110207684584,0.00378110207684584,0.00429948982693828,0.00429948982693828
"169","FAH",0.00369624307963248,0.00369624307963248,0.0042029966913847,0.0042029966913847
"170","IL32",-0.00132980303872731,0.00132980303872731,-0.00151211856242959,0.00151211856242959
"171","NUP160",0.0001511523439257,0.0001511523439257,0.000171875276524813,0.000171875276524813
